"reorder_level","supplier","stock_qty","name","id","sku","category","unit_price"
"40","SoftWare House","402","Antivirus Pro License","9","SOFT-009","Software","29.99"
"25","ToyMasters","180","Building Blocks Kit","7","TOYS-007","Toys","24.99"
"10","BuildIt Supplies","60","Cordless Drill","8","HWRE-008","Hardware","89.99"
"5","Furniture World","75","Ergonomic Chair","3","FURN-003","Furniture","129.99"
"10","GardenPro Inc.","85","Garden Hose 50ft","10","GARD-010","Gardening","34.99"
"30","BookWorld","300","Java Programming","6","BOOK-006","Books","39.95"
"20","FashionHub Ltd.","200","Men's T-Shirt (M)","4","CLTH-004","Clothing","19.99"
"15","CookMaster Co.","120","Non-stick Pan Set","5","KITCH-005","Kitchenware","49.99"
"50","Office Depot","500","Printer Paper Pack","2","OFF-002","Office Supplies","12.5"
"10","TechSource Inc.","150","Smartphone X100","1","ELEC-001","Electronics","699.99"
